"country_cleaned","city_cleaned","productname","populated_category","total_units_sold","product_rank"
"Australia","Sydney","men's vintage tank","{apparel}","1","1"
"Australia","Sydney","women's short sleeve hero tee sky blue","{apparel}","1","1"
"Canada","Kitchener","5-panel cap","{apparel}","1","1"
"Canada","Toronto","men's vintage tank","{apparel}","20","1"
"Chile","Santiago","sport bag","{bags}","2","1"
"Colombia","Bogota","men's 3/4 sleeve henley","{apparel}","6","1"
"Finland","Helsinki","android onesie gold","{kids}","5","1"
"France","Courbevoie","android wool heather cap heather/black","{apparel}","1","1"
"France","Paris","android lunch kit","{lifestyle}","1","1"
"Germany","Berlin","doodle decal","{accessories}","1","1"
"Germany","Hamburg","22 oz  bottle infuser","{drinkware}","12","1"
"Germany","Munich","men's 100% cotton short sleeve hero tee red","{apparel}","2","1"
"Hong Kong","Hong Kong","device stand","{accessories}","120","1"
"India","Hyderabad","keyboard dot sticker","{accessories}","2","1"
"Indonesia","Jakarta","windup android","{accessories}","1","1"
"Ireland","Dublin","laptop backpack","{bags}","2","1"
"Israel","Tel Aviv-Yafo","men's vintage tank","{apparel}","1","1"
"Japan","Minato","5-panel snapback cap","{apparel}","14","1"
"Japan","Osaka","infant short sleeve tee red","{apparel}","7","1"
"Japan","Yokohama","rucksack","{bags}","20","1"
"Singapore","Singapore","men's short sleeve performance badge tee navy","{apparel}","1","1"
"South Korea","Seoul","dress socks","{apparel}","2","1"
"Spain","Madrid","protect smoke + co white wired alarm-usa","{electronics}","1","1"
"Sweden","Stockholm","android rise 14 oz mug","{drinkware}","1","1"
"Switzerland","Zurich","men's 3/4 sleeve henley","{apparel}","4","1"
"Taiwan","Zhongli District","spiral notebook and pen set","{office}","16","1"
"Thailand","Bangkok","26 oz double wall insulated bottle","{drinkware}","3","1"
"United Kingdom","London","rucksack","{bags}","5","1"
"United States","Ann Arbor","recycled mouse pad","{office}","74","1"
"United States","Atlanta","20 oz stainless steel insulated tumbler","{apparel}","25","1"
"United States","Austin","rfid journal","{office}","162","1"
"United States","Cambridge","screen cleaning cloth","{accessories}","63","1"
"United States","Charlotte","lunch bag","{lifestyle}","776","1"
"United States","Chicago","men's 100% cotton short sleeve hero tee white","{apparel}","337","1"
"United States","Chicago","alpine style backpack","{bags}","337","1"
"United States","Cupertino","protect smoke + co white wired alarm-usa","{electronics}","4","1"
"United States","Dallas","leatherette notebook combo","{office}","3","1"
"United States","Denver","twill cap","{apparel}","6","1"
"United States","Detroit","22 oz water bottle","{drinkware}","3","1"
"United States","Fremont","protect smoke + co white battery alarm-usa","{electronics}","6","1"
"United States","Houston","sunglasses","{lifestyle}","5","1"
"United States","Irvine","men's vintage badge tee sage","{apparel}","10","1"
"United States","Kirkland","women's long sleeve tee lavender","{apparel}","50","1"
"United States","Los Angeles","basecamp explorer powerbank flashlight","{electronics}","163","1"
"United States","Milpitas","women's short sleeve hero dark grey","{apparel}","33","1"
"United States","Mountain View","baby on board window decal","{accessories}","5807","1"
"United States","Nashville","learning thermostat 3rd gen-usa - stainless steel","{apparel}","16","1"
"United States","New York","collapsible shopping bag","{bags}","1410","1"
"United States","Palo Alto","cam outdoor security camera - usa","{electronics}","13","1"
"United States","Paris","women's quilted insulated vest black","{apparel}","14","1"
"United States","Phoenix","men's short sleeve hero tee heather","{apparel}","1","1"
"United States","Pittsburgh","hard cover journal","{office}","12","1"
"United States","Salem","men's  zip hoodie","{apparel}","246","1"
"United States","San Bruno","22 oz  bottle infuser","{drinkware}","1397","1"
"United States","San Diego","doodle decal","{accessories}","1","1"
"United States","San Francisco","women's scoop neck tee white","{apparel}","22","1"
"United States","San Jose","22 oz android bottle","{drinkware}","347","1"
"United States","Santa Clara","clip-on compact charger","{electronics}","5","1"
"United States","Santa Monica","slim utility travel bag","{bags}","7","1"
"United States","Seattle","luggage tag","{accessories}","100","1"
"United States","South San Francisco","rucksack","{bags}","6","1"
"United States","Sunnyvale","hard cover journal","{office}","501","1"
"United States","Washington","bib white","{kids}","1","1"
"Uruguay","Montevideo","vintage henley grey/black","{apparel}","1","1"
