"country_cleaned","city_cleaned","total_revenue"
"United States","Mountain View","1684114.98"
"United States","San Bruno","382015.74"
"United States","New York","117292.58"
"United States","Chicago","91007.13"
"United States","Sunnyvale","40060.77"
"United States","Charlotte","16912.62"
"United States","Kirkland","14593.12"
"United States","Austin","11188.45"
"United States","Los Angeles","9462.76"
"United States","San Jose","9061.68"
"United States","San Francisco","7636.80"
"United States","Nashville","7144.00"
"United States","Palo Alto","6276.97"
"United States","Seattle","3907.49"
"United States","Salem","3642.35"
"United States","Ann Arbor","2327.53"
"Hong Kong","Hong Kong","1867.65"
"United States","Cambridge","1435.94"
"Canada","Toronto","1234.93"
"United States","Atlanta","720.44"
"United States","Fremont","714.00"
"United Kingdom","London","660.71"
"United States","Pittsburgh","539.64"
"United States","Paris","529.06"
"Japan","Minato","495.84"
"United States","Cupertino","476.00"
"United States","Milpitas","453.39"
"Japan","Yokohama","307.40"
"Taiwan","Zhongli District","303.84"
"Colombia","Bogota","271.94"
"Switzerland","Zurich","267.95"
"Germany","Hamburg","248.88"
"United States","Irvine","214.33"
"United States","South San Francisco","200.82"
"Chile","Santiago","199.98"
"Ireland","Dublin","199.98"
"United States","Denver","151.92"
"United States","Santa Clara","105.94"
"Thailand","Bangkok","105.94"
"United States","Santa Monica","104.46"
"Finland","Helsinki","100.95"
"Spain","Madrid","99.99"
"Japan","Osaka","97.93"
"Germany","Munich","44.97"
"United States","Washington","37.99"
"Israel","Tel Aviv-Yafo","34.99"
"Indonesia","Jakarta","34.99"
"Sweden","Stockholm","24.99"
"Australia","Sydney","21.98"
"United States","Dallas","20.97"
"France","Paris","17.99"
"United States","Houston","17.50"
"Uruguay","Montevideo","16.99"
"South Korea","Seoul","16.98"
"Canada","Kitchener","15.19"
"United States","Phoenix","14.69"
"Germany","Berlin","12.99"
"United States","Detroit","8.97"
"Singapore","Singapore","7.60"
"India","Hyderabad","6.50"
"France","Courbevoie","3.99"
"United States","San Diego","1.99"
